SourceNomenCode,DestNomenCode,ReporterISO3,TradeFlow,ProductCode,TradeValue,Quantity,QuantityToken,NetWeight,PartnerISO3,Year
H0,GP,CHE,1,19,4.515,21.0,8,21.0,JPN,1988
H0,GP,CHE,1,04,45247.24600000001,3.4926704E7,8,3.4926704E7,NLD,1988
H0,GP,CHE,1,13,337.886,345580.0,7,259250.0,CAN,1988
H0,GP,CHE,1,13,4.485,20078.0,7,15062.0,ZAR,1988
H0,GP,CHE,1,33,2.456,9999.0,7,9000.0,FIN,1988
H0,GP,CHE,1,42,604.735,760187.0,4,,ITA,1988
H0,GP,CHE,1,42,33.297,0.0,-1,,CIV,1988
H0,GP,CHE,1,36,108.463,0.0,-1,,PAN,1988
H0,GP,ISL,1,28,21.053999999999995,426.0,8,426.0,CYP,1988
H0,GP,ISL,1,34,104.168,190987.0,7,198531.0,DNK,1988
H0,GP,ISL,1,21,1.025,191.0,8,191.0,GRC,1988
H0,GP,ISL,1,25,389.671,313540.0,8,313540.0,ZAF,1988
H0,GP,ISL,1,25,1981.3330000000003,967967.0,8,967967.0,SVU,1988
H0,GP,KOR,1,31,8.693,16000.0,8,16000.0,BGD,1988
H0,GP,KOR,1,07,3978.699,3147937.0,8,3147937.0,ARG,1988
H0,GP,KOR,1,29,16970.670000000002,455983.0,8,455983.0,PAK,1988
H0,GP,KOR,1,26,341.64099999999996,1005070.0,8,1005070.0,AUS,1988
H0,GP,KOR,1,31,3723.0070000000014,1104586.0,8,1104586.0,ITA,1988
H0,GP,KOR,1,13,20863.268999999997,1.3624686E7,8,1.3624686E7,WLD,1988
H0,GP,KOR,1,30,134.73399999999998,420368.0,7,294003.0,OAS,1988
H0,GP,KOR,1,42,254.09699999999998,0.0,-1,,CAN,1988
H0,GP,KOR,1,35,4.5680000000000005,0.0,-1,,WLD,1988
H0,GP,GRC,1,07,45.634,33421.0,8,33421.0,ALB,1988
H0,GP,GRC,1,25,423.008,154450.0,8,154450.0,ISR,1988
H0,GP,GRC,1,39,4397.483,870057.0,8,870057.0,OAS,1988
H0,GP,GRC,1,27,644.8960000000001,94836.0,8,94836.0,ZAF,1988
H0,GP,GRC,1,03,24029.536,1.37617026E8,8,1.37617026E8,ESP,1988
H0,GP,FIN,1,39,3209.0739999999996,6940891.0,8,6940891.0,CAN,1988
H0,GP,PRT,1,41,1665.8460000000005,0.0,-1,,USA,1988
H0,GP,PRT,1,35,537.4250000000001,1866396.0,8,1866396.0,ROM,1988
H0,GP,PRT,1,27,4150.883,437315.0,8,437315.0,AUS,1988
H0,GP,PRT,1,34,9.021,1062.0,8,1062.0,AUS,1988
H0,GP,PRT,1,04,11.116,21070.0,8,21070.0,CSK,1988
H0,GP,FIN,1,39,4504.876,1.2473346E7,8,1.2473346E7,ESP,1988
H0,GP,PRT,1,41,1627.5990000000002,454086.0,8,454086.0,CHN,1988
H0,GP,PRT,1,38,298.1689999999999,48815.0,8,48815.0,NOR,1988
H0,GP,PRT,1,14,5.986,213.0,8,213.0,ITA,1988
H0,GP,PRT,1,14,350.59999999999997,149234.0,8,149234.0,GBR,1988
H0,GP,JPN,1,20,658855.8869999999,1.31054836E8,8,1.31054836E8,OAS,1988
H0,GP,JPN,1,39,4190.8769999999995,1087647.0,8,1087647.0,FIN,1988
H0,GP,JPN,1,18,249.723,46000.0,8,46000.0,NGA,1988
H0,GP,FIN,1,22,139.94299999999998,16768.0,8,16768.0,ITA,1988
H0,GP,JPN,1,36,2944.398,2061085.0,8,2061085.0,POL,1988
H0,GP,JPN,1,18,169238.92399999997,1.358247E9,8,1.358247E9,PER,1988
H0,GP,JPN,1,30,42.189,2772.0,8,2772.0,ARG,1988
H0,GP,DDR,1,42,26.0,0.0,-1,,ROM,1988
H0,GP,DDR,1,29,10.0,0.0,-1,,VEN,1988
H0,GP,FIN,1,21,2336.6349999999998,1615001.0,8,1615001.0,NLD,1988
H0,GP,DDR,1,41,119.0,0.0,-1,,MAC,1988
H0,GP,DDR,1,10,250.0,0.0,-1,,CHE,1988
H0,GP,DDR,1,22,1.0,97.0,7,97.0,JPN,1988
H0,GP,DDR,1,30,77.0,221638.0,7,155100.0,GMB,1988
H0,GP,DDR,1,16,6.0,22328.0,7,19199.0,BLX,1988
H0,GP,DDR,1,38,33.0,3534.0,8,3534.0,AND,1988
H0,GP,DDR,1,05,727.0,2032312.0,8,2032312.0,WSM,1988
H0,GP,DDR,1,41,39.0,472.0,8,472.0,AFG,1988
H0,GP,DDR,1,25,2913.0,1426152.0,8,1426152.0,ROM,1988
H0,GP,DDR,1,25,9548.0,1605242.0,8,1605242.0,SVU,1988
H0,GP,DDR,1,22,40.0,15812.0,8,15812.0,IND,1988
H0,GP,DDR,1,08,181.0,807677.0,8,807677.0,FIN,1988
H0,GP,DDR,1,42,25471.0,3292562.0,8,3292562.0,DNK,1988
H0,GP,DDR,1,08,11992.0,5875561.0,8,5875561.0,GBR,1988
H0,GP,AUS,1,05,5.113,41.0,8,41.0,MDG,1988
H0,GP,AUS,1,08,58.723,32398.0,8,32398.0,MLI,1988
H0,GP,AUS,1,27,9.583,3999.0,8,3999.0,PNG,1988
H0,GP,AUS,1,18,67.31,90109.0,8,90109.0,POL,1988
H0,GP,IND,1,27,369.08500000000004,119169.0,8,119169.0,CAN,1988
H0,GP,IND,1,34,929.0730000000001,592217.0,8,592217.0,AUS,1988
H0,GP,IND,1,42,554.164,227848.0,8,227848.0,CHE,1988
H0,GP,IND,1,36,1155.1490000000001,573209.0,8,573209.0,HUN,1988
H0,GP,IND,1,29,66.24799999999999,295.0,8,295.0,BRA,1988
H0,GP,IND,1,10,681.684,90717.0,8,90717.0,CHN,1988
H0,GP,IND,1,30,102.306,161968.0,8,161968.0,KOR,1988
H0,GP,IND,1,08,122.69800000000001,75921.0,8,75921.0,DDR,1988
H0,GP,JPN,1,31,11529.149,1641253.0,8,1641253.0,HKG,1988
H0,GP,IND,1,16,91944.776,9.304E8,7,8.0E8,IRQ,1988
H0,GP,IND,1,33,938.789,102991.0,5,,HKG,1988
H0,GP,AUS,1,27,11.022,417.0,2,,BRN,1988
H0,GP,IND,1,38,6.108,1.0,5,,YUG,1988
H0,GP,AUS,1,28,850.323,439936.0,6,,KOR,1988
H0,GP,IND,1,41,901.598,0.0,-1,,SWE,1988
H0,GP,IND,1,36,415.87300000000005,0.0,-1,,USA,1988
H0,GP,AUS,1,42,2.373,5812.0,4,,POL,1988
H0,GP,AUS,1,28,9.492999999999999,1645.0,5,,CHL,1988
H0,GP,AUS,1,31,0.783,4500.0,5,,JOR,1988
H0,GP,AUS,1,28,11.548000000000002,289.0,5,,MLT,1988
H0,GP,AUS,1,08,5.988,8900.0,5,,ISR,1988
H0,GP,AUS,1,36,1332.8799999999999,1323283.0,5,,OAS,1988
H0,GP,JPN,1,10,7992.2570000000005,3146718.0,8,3146718.0,ITA,1988
H0,GP,AUS,1,34,5032.9,8226906.0,5,,USA,1988
H0,GP,AUS,1,38,118.40799999999999,21.0,5,,ZAF,1988
H0,GP,AUS,1,38,1.578,1.0,5,,THA,1988
H0,GP,AUS,1,38,393.383,0.0,-1,,ZAF,1988
H0,GP,AUS,1,31,6710.927,0.0,-1,,KOR,1988
H0,GP,AUS,1,35,8.368,0.0,-1,,SGP,1988
H0,GP,JPN,1,20,628.4480000000001,134716.0,8,134716.0,GBR,1988
H0,GP,AUS,1,25,901.085,0.0,-1,,ITA,1988
H0,GP,FIN,1,40,131.025,1039.0,8,1039.0,ARG,1988
H0,GP,THA,1,18,47.191,168000.0,8,168000.0,BLX,1988
H0,GP,THA,1,40,855.1959999999999,5474.0,5,,BRA,1988
H0,GP,THA,1,27,24.669,4437.0,8,4437.0,MMR,1988
H0,GP,THA,1,37,1666.023,5605768.0,5,,CHN,1988
H0,GP,THA,1,08,41.831,298.0,8,298.0,FRA,1988
H0,GP,THA,1,03,1.033,89.0,8,89.0,JPN,1988
H0,GP,JPN,1,25,414.855,234929.0,7,234929.0,KOR,1988
H0,GP,JPN,1,13,1974.351,3084229.0,7,2313750.0,TZA,1988
H0,GP,JPN,1,42,52.148,72171.0,4,,SWE,1988
H0,GP,THA,1,37,10.7,580.0,8,580.0,MEX,1988
H0,GP,THA,1,32,23.076,22475.0,7,17980.0,OAS,1988
H0,GP,JPN,1,40,11565.173999999999,2500724.0,5,,SWE,1988
H0,GP,JPN,1,38,167062.88099999996,52887.0,5,,GBR,1988
H0,GP,JPN,1,18,2515.872,0.0,-1,,GHA,1988
H0,GP,JPN,1,30,8112.908,0.0,-1,,IDN,1988
H0,GP,JPN,1,25,130.223,0.0,-1,,TUR,1988
H0,GP,JPN,1,42,44.43000000000001,0.0,-1,,URY,1988
H0,GP,JPN,1,33,759.244,0.0,-1,,CHE,1988
H0,GP,JPN,1,29,533.044,0.0,-1,,CHE,1988
H0,GP,THA,1,18,8.664999999999997,27752.0,8,27752.0,UNS,1988
H0,GP,CHE,1,40,15.866,51.0,8,51.0,GAB,1988
H0,GP,CHE,1,39,395.72200000000004,17939.0,8,17939.0,PRT,1988
H0,GP,CHE,1,33,3.335,44.0,8,44.0,KWT,1988
H0,GP,CHE,1,40,1.486,10.0,8,10.0,NGA,1988
H0,GP,CHE,1,41,33.851,278.0,8,278.0,NER,1988
H0,GP,CHE,1,04,383.10699999999997,453599.0,8,453599.0,YUG,1988
H0,GP,CHE,1,40,206.857,345.0,8,345.0,COL,1988
H0,GP,CHE,1,37,3.056,151.0,8,151.0,MLT,1988
H0,GP,CHE,1,07,1295.085,689375.0,8,689375.0,TZA,1988
H0,GP,FIN,1,39,0.659,200.0,5,,JPN,1988
