SourceNomenCode,DestNomenCode,ReporterISO3,TradeFlow,ProductCode,TradeValue,Quantity,QuantityToken,NetWeight,PartnerISO3,Year
H0,GP,JPN,2,42,5.682,14625,4,,NZL,1988
H0,GP,JPN,2,42,284.92,1932,2,,BLX,1988
H0,GP,JPN,2,33,708.288,48261,2,,GTM,1988
H0,GP,JPN,2,33,199.768,6053,2,,LBY,1988
H0,GP,JPN,2,39,4.097,94,5,,KHM,1988
H0,GP,JPN,2,31,7.563,196,5,,GHA,1988
H0,GP,ISL,2,41,1145.507,37771,8,37771,DNK,1988
H0,GP,KOR,2,42,4055.349,0,-1,,ESP,1988
H0,GP,KOR,2,8,8.09,0,-1,,USA,1988
H0,GP,KOR,2,38,45.56,9187,8,9187,GLP,1988
H0,GP,KOR,2,30,22.945,4312,8,4312,MAC,1988
H0,GP,KOR,2,40,68.399,4196,8,4196,NRU,1988
H0,GP,KOR,2,29,669.168,65644,8,65644,ZAR,1988
H0,GP,KOR,2,38,2480.343,382826,8,382826,PNG,1988
H0,GP,KOR,2,37,1008.668,150356,8,150356,PRT,1988
H0,GP,KOR,2,33,2008.574,984318,8,984318,BHR,1988
H0,GP,KOR,2,28,89.265,3647,8,3647,MYS,1988
H0,GP,KOR,2,29,200179.883,3.67E+07,8,3.67E+07,DDR,1988
H0,GP,KOR,2,31,11078.727,4830458,8,4830458,DDR,1988
H0,GP,KOR,2,30,7786.623,1.00E+07,8,1.00E+07,OAS,1988
H0,GP,GRC,2,33,1.496,4,8,4,ARG,1988
H0,GP,GRC,2,30,239.752,263693,8,263693,AUS,1988
H0,GP,GRC,2,31,153.159,29393,8,29393,DNK,1988
H0,GP,GRC,2,29,27052.828,1013158,8,1013158,DDR,1988
H0,GP,GRC,2,26,2.762,245497,7,245460,GIB,1988
H0,GP,GRC,2,31,2.734,50,8,50,GIB,1988
H0,GP,GRC,2,39,384.668,2218,8,2218,PRT,1988
H0,GP,GRC,2,41,1.451,0,-1,,ROM,1988
H0,GP,GRC,2,41,1.712,4,8,4,SEN,1988
H0,GP,GRC,2,33,976.064,7316461,8,7316461,SWE,1988
